species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
F+ 5.081789152194e-02 5.081789152194e-02 5.077945930946e-02 3.843221247912e-05
CH 4.945573228785e-02 4.945573228785e-02 4.937729513156e-02 7.843715629008e-05
SiC+ 4.711829523265e-02 4.711829523265e-02 4.705870142613e-02 5.959380652243e-05
N+ 4.532137020656e-02 4.532137020656e-02 4.530833772075e-02 1.303248581586e-05
GRAIN- 4.441006659446e-02 4.434582353873e-02 4.441006659446e-02 6.424305573383e-05
HS 4.060051037563e-02 4.060051037563e-02 4.051558233859e-02 8.492803704030e-05
OH+ 3.653313577553e-02 3.641537551471e-02 3.653313577553e-02 1.177602608289e-04
H- 2.758050621411e-02 2.749446703834e-02 2.758050621411e-02 8.603917576977e-05
NO+ 2.638459113065e-02 2.638459113065e-02 2.635763162512e-02 2.695950553111e-05
O- 2.443205106720e-02 2.434607799957e-02 2.443205106720e-02 8.597306763036e-05
C 1.817529314954e-02 1.817529314954e-02 1.811010367214e-02 6.518947740908e-05
O2+ 1.712822316209e-02 1.712822316209e-02 1.701776035078e-02 1.104628113193e-04
S 1.546512483664e-02 1.546512483664e-02 1.539788707910e-02 6.723775754480e-05
P 1.413504945931e-02 1.413504945931e-02 1.405118284946e-02 8.386660984172e-05
GRAIN0 1.386826405595e-02 1.384683022319e-02 1.386826405595e-02 2.143383275843e-05
CN+ 1.327641457392e-02 1.327621674738e-02 1.327641457392e-02 1.978265355973e-07
Na 1.238691899073e-02 1.232073183914e-02 1.238691899073e-02 6.618715159412e-05
SiN+ 8.893584457066e-03 8.893584457066e-03 8.893584457066e-03 0.000000000000e+00
Cl+ 7.987545270677e-03 7.985934323861e-03 7.987545270677e-03 1.610946815944e-06
H2+ 6.586989586904e-03 6.586989586904e-03 6.538307834644e-03 4.868175225958e-05
CH+ 5.807406825484e-03 5.807181978172e-03 5.807406825484e-03 2.248473123245e-07
Si 5.007472221369e-03 5.007472221369e-03 4.939616505613e-03 6.785571575563e-05
He+ 4.253750245596e-03 4.209171501561e-03 4.253750245596e-03 4.457874403485e-05
Fe 2.720739362323e-03 2.720739362323e-03 2.652826907802e-03 6.791245452042e-05
SiH+ 2.254460593964e-03 2.254452961701e-03 2.254460593964e-03 7.632262821744e-09
XH 1.873016712310e-03 1.873016712310e-03 1.873016678305e-03 3.400479897664e-11
Mg 1.502645696551e-03 1.436370146319e-03 1.502645696551e-03 6.627555023186e-05
F 4.998973026211e-04 4.996712079102e-04 4.998973026211e-04 2.260947109534e-07
